imdb_id,title,year,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
3593046,Lost in the Sun,2015,0.025,0.025,95,5.8,48,3.985181,146730,360203.0,Action|Drama|Thriller,Trey Nelson,0,0,0,N,0.0001433645413471,9.487204165091268e-05
2217859,Louder Than Bombs,2015,11.0,0.16178900000000002,109,6.7,93,12.293202,146866,157827.0,Drama,Joachim Trier,0,3,3,N,0.0003540925630911,0.0001258700291091
3276924,Heist,2015,8.9,4.1,93,5.6,322,8.476315,146900,336004.0,Action|Thriller,Scott Mann,0,0,0,N,0.0002614098146779,-2.04362290922636e-05
2279339,Love the Coopers,2015,17.0,42.426912,107,5.4,169,5.660648999999999,147022,333348.0,Comedy,Jessie Nelson,2,3,5,N,0.0003174100823737,0.0002218874263407
3595298,Prem Ratan Dhan Payo,2015,23.4,67.0,174,5.6,39,2.864948,147024,362136.0,Drama,Sooraj R. Barjatya,1,2,3,0045053|0006795,0.0001081503338263,0.00043007482096
3451498,Faster than Rabbits,2014,3.0,5.279982,99,6.3,12,1.14731,147262,253192.0,Comedy,Dmitriy Dyachenko,0,0,0,N,3.4981417802750644e-05,0.0003855336405393
2058673,Point Break,2015,105.0,133.71871099999998,114,5.5,795,7.291872,147847,257088.0,Action|Thriller,Ericson Core,11,1,12,0102685,3.505286736048148e-05,-0.0003571266417182
3001638,Mary Kom,2014,0.224056,15.536328,122,7.0,29,1.416035,148070,284288.0,Drama,Omung Kumar,3,0,3,N,0.0002942867765548,-0.00027381231918
4679210,Premam,2015,6.2,11.0,165,6.4,13,0.81609,148095,341895.0,Comedy,Alphonse Putharen,17,12,29,5712058,0.0003707942236841,-0.00022884152051900005
2304933,The 5th Wave,2016,38.0,109.90637199999999,112,5.6,1993,10.788263,148172,299687.0,Adventure|Sci-Fi|Thriller,J Blakeson,7,8,15,N,-6.35644698783617e-05,-0.0002983799956924
3616916,The Wave,2015,5.9040669999999995,12.975143,104,6.5,317,6.982302000000001,148369,336882.0,Action|Drama|Thriller,Roar Uthaug,3,2,5,6523720,-2.201074955234756e-05,-1.826852646889456e-05
4644382,Monkey King: Hero Is Back,2015,10.0,150.0,89,7.5,58,3.7593010000000002,148478,351694.0,Animation|Comedy|Fantasy,Tian Xiao Peng,0,0,0,N,0.0002282439212224,0.0003117414886838
3859076,Truth,2015,9.6,2.541554,121,6.5,165,6.133744999999999,148482,300693.0,Drama,James Vanderbilt,5,10,15,N,0.000355701092606,-0.0001128357606151
1445208,The Letters,2015,1e-06,1e-06,114,5.6,10,2.240259,148484,218275.0,Drama,William Riead,0,0,0,N,-8.656785888995655e-05,0.0003774119655426
1596363,The Big Short,2015,28.0,133.346506,130,7.3,2679,13.143061,148626,318846.0,Drama,Adam McKay,44,13,57,N,0.0001086605167058,0.0003989974373442
4881242,Loham,2015,1.050255,2.250547,129,4.4,5,0.633653,148657,338930.0,Drama|Thriller,Ranjith,0,0,0,N,0.0003765247732961,-0.0001509962981298
0319736,The Legend of Bhagat Singh,2002,3.0,6.0,155,7.2,15,0.904409,148811,31525.0,Drama,Rajkumar Santoshi,0,0,0,N,3.7109198476625095e-05,0.0004279146225988
1608290,Zoolander 2,2016,50.0,55.968999999999994,100,4.7,814,10.155109,148888,329833.0,Comedy,Ben Stiller,62,30,92,0291853|0291852|0196229,0.0004273414233958,2.9528676535066527e-05
1292566,How to Be Single,2016,38.0,112.34351299999999,110,5.9,1225,8.898988000000001,148956,259694.0,Comedy,Christian Ditter,18,9,27,N,-0.0002841233711851,-0.0001609346988026
0102655,The Perfect Weapon,1991,10.0,14.061360999999998,87,6.0,25,1.634827,149077,34421.0,Action|Drama,Mark DiSalle,4,1,5,N,0.0001135234620304,0.0001830700556849
4667094,Fifty Shades of Black,2016,20.0,21.164799,92,4.3,337,6.785049000000001,149186,351819.0,Comedy,Michael Tiddes,11,25,36,N,0.0001866938564734,0.0003922439729129
4550098,Nocturnal Animals,2016,22.5,29.252978000000002,116,7.2,1990,18.908782000000002,149334,340666.0,Drama|Thriller,Tom Ford,33,0,33,N,-0.0002080013715572,-0.0001294971793146
1528854,Daddy's Home,2015,50.0,242.7861369999,96,5.8,870,8.009226,149352,274167.0,Comedy,Sean Anders,14,16,30,5657846,0.0003616814921324,0.0001293603818645
1850457,Sisters,2015,30.0,105.011053,118,5.8,593,13.799419,149354,266294.0,Comedy,Jason Moore,35,16,51,N,0.0003248093223104,-0.0001640943836111
2267968,Kung Fu Panda 3,2016,145.0,521.170825,95,6.7,1630,14.696548000000002,149406,140300.0,Action|Adventure|Animation,Jennifer Yuh Nelson,40,11,51,8271176|0441773|1287845|1702433|1302011|1545214|1980162|5513770,1.5635226440150134e-05,-0.0004327841934702
2671776,F.C. De Kampioenen: Kampioen zijn blijft plezant,2013,3.849796,7.471303999999999,115,6.3,8,0.8521860000000001,149814,201386.0,Comedy,Eric Wirix,2,1,3,4002200|5331532|0149453,2.828336999076025e-05,0.0003747351169028
1374989,Pride and Prejudice and Zombies,2016,28.0,16.374328,108,5.5,662,7.954623,149830,58431.0,Comedy|Horror|Thriller,Burr Steers,11,0,11,N,0.0002189489899288,8.893650428242996e-05
4535650,Dilwale,2015,26.0,61.0,158,6.3,68,4.081193,150268,370665.0,Action|Comedy|Drama,Rohit Shetty,11,16,27,N,-0.0002794012852309,-0.0002008647319995
4183692,Woodlawn,2015,12.0,14.394097,123,6.8,49,3.216606,150270,333596.0,Drama,Andrew Erwin,7,0,7,N,1.8581859617058586e-05,0.0003888296066384
3268668,Captive,2015,2.0,2.801508,97,5.6,94,5.396271,150272,331190.0,Drama|Thriller,Jerry Jameson,5,1,6,N,0.0001320563353862,0.0001142775235168
3387542,The Forest,2016,10.0,40.055439,95,4.8,478,7.384688000000001,150294,329440.0,Horror|Thriller,Jason Zada,3,1,4,N,0.000116329000707,0.0003293100861188
1334470,Raavan,2010,4.5,4.199999999999998,138,4.2,15,1.160169,150320,37460.0,Drama|Sci-Fi,Mani Ratnam,0,0,0,N,-3.7920692723920004e-05,0.0004229781288189
2077833,Rowdy Rathore,2012,6.7,31.0,143,5.6,24,1.312833,150334,102632.0,Action,Prabhu Deva,13,3,16,0858492|5986568,0.000416797507832,7.239274508984679e-05
0009369,Mickey,1918,0.25,8.0,93,7.5,4,0.211008,150964,54242.0,Comedy|Drama,F. Richard Jones,0,0,0,N,-9.939073424053295e-05,0.0004668530803131
1594972,Norm of the North,2016,18.0,17.062499,86,4.1,124,7.008103,151313,276905.0,Adventure|Animation|Comedy,Trevor Wall,40,6,46,7913394|9428190|9434836,0.0003882232287717,-0.00017964419345299997
2869728,Ride Along 2,2016,40.0,124.827316,102,6.1,567,9.420931,151315,323675.0,Action|Comedy,Tim Story,26,9,35,6151162|1408253,-0.00019218083492400002,-0.0001177244210713
1083452,Eddie the Eagle,2016,23.0,46.152411,106,7.2,682,7.528275999999999,151455,319888.0,Comedy,Dexter Fletcher,22,10,32,N,9.149579199544034e-06,-0.0003169331216632
4387040,Airlift,2016,4.5,32.0,126,7.3,58,3.376147,151459,375290.0,Drama|Thriller,Raja Menon,2,1,3,N,-0.0002310225535221,1.156749313354766e-05
3018070,Stonewall,2015,13.5,0.187674,129,5.2,32,3.531089,151557,273899.0,Drama,Roland Emmerich,4,1,5,N,-0.0003942422251052,1.7618647177193807e-05
3882082,The Boy,2016,10.0,64.188367,97,5.8,1133,17.028854,151639,321258.0,Horror|Thriller,William Brent Bell,19,0,19,9173418,0.0002455758539753,-0.0001599091152062
4337690,90 Minutes in Heaven,2015,5.0,4.842699,121,5.4,40,4.222496,151641,343795.0,Drama,Michael Polish,0,0,0,N,0.0004030097730844,8.753376890065295e-05
3231054,Risen,2016,20.0,46.069568,107,5.7,300,8.759801,151687,335778.0,Drama,Kevin Reynolds,3,0,3,N,0.0003677084074066,-8.778578810524612e-05
1860213,Dirty Grandpa,2016,11.5,94.073028,102,5.7,1429,16.290585999999998,151739,291870.0,Comedy,Dan Mazer,25,22,47,N,0.0002756432100331,-0.0002924500400375
4761270,Orleans,2015,2.5,0.302,106,6.0,3,0.192475,151755,364427.0,Comedy|Drama|Thriller,Andrei Proshkin,0,0,0,N,4.826721623716245e-05,0.000132967362767
2025690,The Finest Hours,2016,80.0,52.09909,114,6.3,597,10.385757,151777,300673.0,Drama|Thriller,Craig Gillespie,5,1,6,N,4.040664413272179e-05,-0.0002333761219992
3037582,The Guide,2014,0.722083,0.49916800000000006,120,8.6,6,0.817488,151915,293122.0,Drama,Oles Sanin,0,0,0,N,0.0003487680186968,0.0002615105970838
4196450,The Birth of a Nation,2016,8.5,15.861566000000002,120,6.4,181,5.933047,151933,339408.0,Drama,Nate Parker,7,1,8,N,-0.0003314984563556,-3.5531814038480635e-05
1499201,Anjaana Anjaani,2010,6.4,5.9,151,6.1,27,1.8229400000000002,152011,44566.0,Drama,Siddharth Anand,3,2,5,N,9.682444258606012e-05,0.0004107414065214
2674426,Me Before You,2016,20.0,207.945075,110,7.6,2674,34.347590000000004,152017,296096.0,Drama,Thea Sharrock,14,6,20,N,-0.00036501903188600003,-0.0001698446408416
1712261,Triple 9,2016,20.0,12.639297000000001,115,5.6,812,12.892503999999999,152061,146198.0,Drama,John Hillcoat,9,4,13,N,-0.0003527451742796,2.4116779432548442e-05
2404233,Gods of Egypt,2016,140.0,150.68086399999999,127,5.2,1303,13.337707,152063,205584.0,Adventure|Fantasy,Alex Proyas,18,1,19,N,0.0001091585552212,-0.0004096648623205
4285496,Embrace of the Serpent,2015,1.4,1.3200049999999999,125,7.8,129,5.061041,152065,336808.0,Adventure|Drama,Ciro Guerra,0,0,0,N,-0.0002504694053086,-0.0001868882025005
5286444,Neerja,2016,10.721568,2.9789939999999997,122,7.4,44,1.68625,152067,376869.0,Drama,Ram Madhvani,2,3,5,N,3.683739762556274e-05,0.0004026596172781
