imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
0065214,The Wild Bunch,1969,6.244087,0.638641,145,7.7,266,11.722424,599,576.0,Adventure|Western,Sam Peckinpah,215,6,221,2028582
0116282,Fargo,1996,7.0,60.611975,98,7.7,2080,12.61469,608,275.0,Comedy|Drama|Thriller,Joel Coen,282,17,299,2802850
0116514,Hellraiser: Bloodline,1996,4.0,16.675,86,4.9,111,5.263187,611,8766.0,Action|Horror|Sci-Fi,Kevin Yagher,32,3,35,0229440|0274546|0337636|0354623|1716747|5476182|0093177|0095294|0104409
0065421,The Aristocats,1970,4.0,55.675257,78,7.1,1287,9.834047,616,10112.0,Animation,Wolfgang Reitherman,158,1,159,N
0117381,Primal Fear,1996,30.0,102.61618299999999,129,7.4,644,10.326213,628,1592.0,Drama|Thriller,Gregory Hoblit,45,3,48,0337971
0116414,Girl 6,1996,12.0,4.939939,108,5.7,17,4.405169,639,61752.0,Comedy|Drama,Spike Lee,12,14,26,N
0115956,Courage Under Fire,1996,46.0,100.86081799990001,117,6.2,240,11.595316,647,10684.0,Action|Drama,Edward Zwick,20,2,22,N
0117060,Mission: Impossible,1996,80.0,457.696359,110,6.7,2677,15.793477,648,954.0,Action|Adventure|Thriller,Brian De Palma,415,10,425,0120755|0317919|1229238|2381249|4912910|9603212|9603208|0060009
0116136,DragonHeart,1996,57.0,115.267375,103,6.4,553,23.63659,653,8840.0,Action|Adventure|Fantasy,Rob Cohen,54,2,56,0214641|3829170|5610626|9711106
0116683,James and the Giant Peach,1996,38.0,28.921263999999997,79,6.2,375,13.217623,661,10539.0,Adventure|Animation|Fantasy|Musical,Henry Selick,64,2,66,N
0116269,Faithful,1996,13.0,9.7899,91,4.8,4,1.296862,664,47502.0,Comedy,Paul Mazursky,4,1,5,N
0117705,Space Jam,1996,80.0,250.20000000000002,88,6.5,1335,11.054251,673,2300.0,Adventure|Animation|Comedy|Fantasy|Sci-Fi,Joe Pytka,279,56,335,3554046
0062711,Barbarella,1968,9.0,2.5,98,5.7,149,14.304205,674,8069.0,Adventure|Comedy|Sci-Fi,Roger Vadim,173,1,174,N
0117104,Mrs. Winterbourne,1996,25.0,10.07,105,5.5,26,9.1861,691,40001.0,Comedy,Richard Benjamin,4,2,6,0279410|0041694
0117420,The Quest,1996,30.0,57.400547,95,5.3,126,7.941972,704,9103.0,Action|Adventure,Jean-Claude Van Damme,9,0,9,N
0095776,Oliver & Company,1988,31.0,74.151346,74,6.5,372,10.813579,709,12233.0,Adventure|Animation|Comedy|Musical,George Scribner,68,10,78,N
0116322,Flipper,1996,25.53,20.080019999999998,95,5.3,85,4.557006,711,36355.0,Adventure,Alan Shapiro,12,5,17,0057063
0113362,The Horseman on the Roof,1995,35.0,15.0,135,6.7,25,1.690768,715,11876.0,Drama,Jean-Paul Rappeneau,8,0,8,N
