imdb_id,title,year,budget,actual_budget,revenue,actual_revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
387808,Idiocracy,2006,30.0,41.4,0.5,0.69,84,6.3,681,12.130803,47997,7512.0,Adventure|Comedy|Sci-Fi|Thriller,Mike Judge,33,14,47,0387808,0.0027830376384439,0.0094231475375745
414993,The Fountain,2006,35.0,48.3,15.3,21.11,96,6.8,852,11.577121,48043,1381.0,Drama|Fantasy,Darren Aronofsky,22,3,25,0414993,-0.0174773714242044,-0.0068329105286316
354899,The Science of Sleep,2006,6.0,8.28,9.52,13.14,105,6.8,253,10.603991,48082,300.0,Comedy|Drama|Fantasy,Michel Gondry,9,8,17,0354899,-0.0191713100108614,-0.0032797690856333
439630,Initial D,2005,1.55,2.22,7.1,10.15,107,6.3,46,4.331811,48093,16411.0,Action|Drama,Andrew Lau,1,3,4,0385426|0247874|0388130|0439630,-0.0049418799108518,-0.000467001155335
387877,The Black Dahlia,2006,50.0,69.0,49.11,67.77,121,5.7,292,6.506572,48142,9676.0,Drama|Thriller,Brian De Palma,15,7,22,0387877,0.00299302890354,-0.0119396675365776
421206,Gridiron Gang,2006,30.0,41.4,41.48,57.24,125,6.6,210,5.025475,48161,9766.0,Drama,Phil Joanou,13,4,17,0282537|0421206,0.0094082032618369,0.0216303490580564
63787,Vixen!,1968,0.08,0.64,6.0,48.0,70,5.5,16,1.310245,48264,5721.0,Drama,Russ Meyer,19,1,20,0063787,0.0164422581130484,-0.018760059497737
472043,Apocalypto,2006,40.0,55.2,120.18,165.85,139,7.3,1252,7.735233,48304,1579.0,Adventure|Drama|Thriller,Mel Gibson,49,6,55,0472043,-0.0078199776723979,-0.0087072799919828
454824,Flyboys,2006,60.0,82.8,17.8,24.56,140,6.3,274,5.460942,48319,9664.0,Action|Adventure|Drama,Tony Bill,6,0,6,0454824,-0.0026263136337274,0.0071930164264232
493430,Jackass Number Two,2006,11.0,15.18,72.78,100.44,95,6.4,306,7.915368,48322,12094.0,Comedy|Documentary,Jeff Tremaine,33,16,49,1117523|1116184|1753968|3063516|3766424|1146622|0298993|0382578|0362487|0264263|0362486|0322802|0363495|0493430,-0.0191063336230217,0.0116048595917605
405676,All the King's Men,2006,55.0,75.9,9.45,13.04,125,5.7,95,7.991168,48326,1717.0,Drama,Steven Zaillian,10,1,11,0405676,0.021251357175249,0.0087677975708075
435623,Conversations with Other Women,2006,0.45,0.62,0.97,1.34,84,6.2,38,2.333661,48342,15624.0,Comedy|Drama,Hans Canosa,0,0,0,0435623,-0.0157149701770221,0.0001989659270967
443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,18.0,24.84,261.57,360.97,82,6.5,1617,8.278336,48385,496.0,Comedy,Larry Charles,251,52,303,1314396|0443453,0.0041173871240599,0.0236254077848734
457430,Pan's Labyrinth,2006,19.0,26.22,83.26,114.9,118,7.6,3122,26.817754,48394,1417.0,Drama|Fantasy|Thriller,Guillermo del Toro,152,9,161,0457430,-0.0096012136221442,-0.0140112570296522
406816,The Guardian,2006,70.0,96.6,55.01,75.91,139,6.8,394,10.031817,48412,4643.0,Action|Adventure|Drama,Andrew Davis,11,5,16,0406816,-0.0038337732465372,0.0069256203022997
